district,block,sr_no,gram_panchayat,reservation,caste_reservation,woman_reserved,winner,father_husband,unopposed,vacant,reservation_raw,script,printings_agree,notification,source_pdf
Ambala,Ambala-1,1,Adho Majra,Other than Woman,NONE,0,Sarjant Singh,Joginder Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,2,Ahema,Woman,NONE,1,Jasveer Kaur,Kaka Singh/Dalbir Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,3,Amipur,Other than Woman,NONE,0,Narmail Singh,Rulda Ram,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,4,Anandpur,Woman,NONE,1,Baljinder Kaur,Dilpreet Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,5,Babaheri,SC Other than Woman,SC,0,Parveen Kumar,Krishan Lal,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,6,Baknaur,Other than Woman,NONE,0,Kaptan Singh,Naib Singh,1,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,7,Ballana,Woman,NONE,1,Suman Deshwal,Talwinder Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,8,Balapur,Other than Woman,NONE,0,Shiv Kumar,Om Parkash,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,9,Bara,Woman,NONE,1,Amarjit Kaur,Jagat Gurmit Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,10,Baroula,SC Woman,SC,1,Jasvinder Kaur,Sukhvinder Singh,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,11,Barouli,Other than Woman,NONE,0,Dev Singh,Naib Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,12,Batrohan,SC Other than Woman,SC,0,Surinder Pal,Balbir Singh,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,13,Bedsan,Woman,NONE,1,Mamta Rani,Janak Raj,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,14,Bego Majra,Other than Woman,NONE,0,Sanjit Kumar,Sarjan Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,15,Behbalpur,Woman,NONE,1,Amarjeet Kaur,Kirpal Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,16,Bhanokheri,Other than Woman,NONE,0,Amanpreet Singh,Paramjit Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,17,Bhanpur Nakatpur,Woman,NONE,1,Paramjeet Kaur,Harmesh Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,18,Bhari,Other than Woman,NONE,0,Baljit Singh,Jeet Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,19,Bhunni,SC Woman,SC,1,Anita Devi,Gurcharan Singh,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,20,Bhurangpu r,SC Other than Woman,SC,0,Avtar Singh,Dalip Singh,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,21,Bhura Majra,BC-A Woman,BC_A,1,Rajni,Dharam Pal,1,0,Backward Class 'A' Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,22,Bishangarh,SC Woman,SC,1,Amarjeet,Maya Ram,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,23,Chappra,Other than Woman,NONE,0,Buta Singh,Ram Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,24,Chhota Baroula,Woman,NONE,1,Amandeep Kaur,Balwinder Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,25,Dangerian,Other than Woman,NONE,0,Bhag Singh,Gurcharan Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,26,Danipur,Woman,NONE,1,Monika Goyat,Vijaypal Singh,1,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,27,Delu Majra,SC Other than Woman,SC,0,Sonu Ram,Mahinder Singh,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,28,Dhanoura,Other than Woman,NONE,0,Kaptan Singh,Amrik Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,29,Dhanouri,BC-A Woman,BC_A,1,Menka Rani,Vikas Singh,0,0,Backward Class 'A' Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,30,Dhurala,Other than Woman,NONE,0,Gurmeet Singh,Naib Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,31,Dhurkara,Woman,NONE,1,Manpreet Kaur,Gurmeet Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,32,Dukheri,Other than Woman,NONE,0,Raj Karan,Mamraj Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,33,Durana,SC Woman,SC,1,Manisha,Karnail Singh,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,34,Farouli,SC Other than Woman,SC,0,Naib Singh,Sardha Ram,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,35,Fazailpur,SC Woman,SC,1,Anita,Kuldeep Singh,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,36,Gorsian,Woman,NONE,1,Ritu Sharma,Satish Kumar,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,37,Humayunp ur,Woman,NONE,1,Hardeep Kaur,Kulwant Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,38,Ismailpur,Other than Woman,NONE,0,Kulwinder Singh,Harnek Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,39,Jagoli,Woman,NONE,1,Kamaljeet Kaur,Gurvinder Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,40,Jaitpura,Other than Woman,NONE,0,Balwinder,Rakshpal,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,41,Jalalpur,SC Other than Woman,SC,0,Gurpreet Singh,Maya Ram,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,42,Jandheri,Other than Woman,NONE,0,Parveen Kumar,Dalip Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,43,Jansua,BC-A Woman,BC_A,1,Lakhvinder Kaur,Manjit Singh,0,0,Backward Class 'A' Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,44,Jansui,SC Woman,SC,1,Rimpi,Rakesh Kumar,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,45,Jodhpur,SC Other than Woman,SC,0,Baljeet Singh,Gurdev Singh,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,46,Kalawar,SC Woman,SC,1,Amandeep Kaur,Sukhwinder,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,47,Kaleran,SC Other than Woman,SC,0,Daljit Singh,Hukam Singh,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,48,Kangwal,Other than Woman,NONE,0,Nirmal Singh,Sher Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,49,Kathgarh,SC Woman,SC,1,Samina,Anil Kumar,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,50,Khaira,Woman,NONE,1,Paramjeet Kaur,Kuldeep Singh,1,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,51,Khanna Majra,Other than Woman,NONE,0,Surinder Singh,Banta Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,52,Khaspura,SC Other than Woman,SC,0,Satish Kumar,Raj Kumar,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,53,Khurchanpur,SC Woman,SC,1,Satwinder Kaur,Harjinder Singh,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,54,Konkpur,Woman,NONE,1,Sunita,Rud Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,55,Kot Kachwa Kalan,Other than Woman,NONE,0,Deepak Kumar,Ishwar Das,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,56,Kot Kachwa Khurd,Woman,NONE,1,Shalini Chabra,Jatin Chabra,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,57,Kurbanpur,Other than Woman,NONE,0,Amandeep Singh,Tahal Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,58,Ladana,Woman,NONE,1,Shyamo Devi,Surjeet Singh,0,0,Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,59,Lakhnour Sahib,Other than Woman,NONE,0,Jarnail Singh,Ramnath,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,60,Lallana,BC-A Woman,BC_A,1,Ritu Bala,Jitender Kumar,0,0,Backward Class 'A' Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,61,Lautan,SC Other than Woman,SC,0,Jatinder Singh,Amarjeet Singh,1,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,62,Majri,Other than Woman,NONE,0,Gurpreet Singh,Moti Ram,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,63,Mallour,SC Woman,SC,1,Jyoti Rani,Bahadur Singh,0,0,Scheduled Caste Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,64,Malwa,SC Other than Woman,SC,0,Parveen Kumar,Subhash Chand,0,0,Scheduled Caste Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,65,Mardo Sahib,BC-A Woman,BC_A,1,Pooja Rani,Pawan Kumar,0,0,Backward Class 'A' Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,66,Mastpur,Other than Woman,NONE,0,Baljinder Singh,Sarvan Singh,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,67,Matheri Jattan,BC-A Woman,BC_A,1,Pooja Rani,Manpreet Singh,0,0,Backward Class 'A' Women,latin,1,7241,Ambala__Ambala-1.pdf
Ambala,Ambala-1,68,Matheri Shekhan,Other than Woman,NONE,0,Subhash Chander,Gyan Chand,0,0,Other than Women,latin,1,7241,Ambala__Ambala-1.pdf
